# Source: user-provided Korean Path of Exile Ctrl+C clipboard text and matching screenshots, 2026-08-15.
# The count records monitor-family occurrences; the text is the representative verbatim line supplied in the report.
# Format: verbatim implicit text<TAB>canonical id<TAB>observed count
인접 지역 내 몬스터가 떨어뜨리는 장비의 80%가 골드로 전환 — 변경이 불가능한 값	adj-gold-2	1
인접 지역들 내 희귀 몬스터가 판테온 속성 1개 보유 — 변경이 불가능한 값	adj-pantheon	2
인접 지역들에 고통받는 혼백의 창살 2개 추가 등장 — 변경이 불가능한 값	adj-spirit-2	3
인접 지역들에 금고 2(2-4)개 추가 등장 — 변경이 불가능한 값	adj-box-2	4
인접 지역들에 금고 5개 추가 등장 — 변경이 불가능한 값	adj-box-3	1
인접 지역들에 문어 무리 13(11-14)개 추가 등장 — 변경이 불가능한 값	adj-octo-2	1
인접 지역들에서 떨어지는 목걸이가 10% 확률로 고유 목걸이로 떨어짐 — 변경이 불가능한 값	adj-uamu-1	1
인접 지역들에서 떨어지는 허리띠가 10% 확률로 고유 허리띠로 떨어짐 — 변경이 불가능한 값	adj-ubelt-1	3
인접 지역들에 에 거대 불가사리 7(6-7)마리 추가 등장 — 변경이 불가능한 값	adj-star-2	5
인접 지역들에 황금 등불 4개 추가 등장 — 변경이 불가능한 값	adj-lantern	3
인접 지역들에 병 안의 서신 2개 추가 등장 — 변경이 불가능한 값	adj-msg-2	1
